14|1|0.06|0.74
15|1|0.13|0.74
1|15|0.13|0.17
25|1|0.05|0.88
27|1|0.04|0.94
56|1|0.05|0.78
58|1|0.14|0.78
1|58|0.14|0.19
73|1|0.05|0.81
99|1|0.11|0.74
1|99|0.11|0.14
142|1|0.04|0.81
144|1|0.05|0.78
168|1|0.04|0.78
179|1|0.04|0.76
254|1|0.04|0.75
259|1|0.08|0.77
1|259|0.08|0.10
274|1|0.22|0.75
1|274|0.22|0.29
281|1|0.06|0.72
297|1|0.07|0.76
326|1|0.17|0.78
1|326|0.17|0.22
334|1|0.04|0.78
335|1|0.05|0.82
346|1|0.04|0.69
348|1|0.08|0.72
1|348|0.08|0.11
357|1|0.04|0.72
372|1|0.05|0.81
379|1|0.04|0.73
411|1|0.06|0.69
429|1|0.05|0.71
430|1|0.04|0.77
435|1|0.05|0.86
436|1|0.03|0.70
465|1|0.06|0.73
474|1|0.03|0.73
508|1|0.03|0.77
528|1|0.04|0.70
534|1|0.05|0.67
543|1|0.04|0.70
544|1|0.04|0.74
649|1|0.07|0.76
694|1|0.03|0.75
764|1|0.08|0.80
1|764|0.08|0.11
780|1|0.04|0.85
823|1|0.11|0.76
1|823|0.11|0.14
961|1|0.05|0.81
971|1|0.07|0.73
998|1|0.04|0.86
1010|1|0.04|0.93
1048|1|0.04|0.76
1055|1|0.05|0.67
1065|1|0.04|0.84
1074|1|0.03|0.88
1086|1|0.04|0.81
1108|1|0.07|0.84
1124|1|0.04|0.86
1150|1|0.11|0.76
1|1150|0.11|0.14
1271|1|0.05|0.65
1285|1|0.10|0.75
1|1285|0.10|0.14
1304|1|0.05|0.86
1342|1|0.04|0.65
1749|1|0.08|0.75
1|1749|0.08|0.10
1817|1|0.04|0.87
1981|1|0.03|0.78
2123|1|0.03|0.69
2292|1|0.07|0.87
2717|1|0.03|0.81
2762|1|0.04|0.90
2825|1|0.03|0.81
3815|1|0.04|0.87
4355|1|0.04|0.94
15|58|0.04|0.23
58|15|0.04|0.21
15|99|0.04|0.25
99|15|0.04|0.31
15|326|0.05|0.27
326|15|0.05|0.21
15|1150|0.05|0.27
1150|15|0.05|0.33
99|58|0.04|0.26
58|99|0.04|0.20
274|58|0.07|0.24
58|274|0.07|0.38
326|58|0.05|0.24
58|326|0.05|0.28
348|58|0.03|0.30
58|348|0.03|0.18
58|649|0.04|0.19
649|58|0.04|0.36
823|58|0.04|0.27
58|823|0.04|0.20
1150|58|0.03|0.23
58|1150|0.03|0.18
1285|58|0.05|0.33
58|1285|0.05|0.25
99|274|0.05|0.33
274|99|0.05|0.16
227|274|0.05|0.40
274|227|0.05|0.17
326|227|0.04|0.17
227|326|0.04|0.29
259|274|0.04|0.41
274|259|0.04|0.14
326|259|0.03|0.15
259|326|0.03|0.34
274|281|0.04|0.14
281|274|0.04|0.44
326|274|0.07|0.31
274|326|0.07|0.23
348|274|0.04|0.39
274|348|0.04|0.15
411|274|0.04|0.45
274|411|0.04|0.13
429|274|0.04|0.58
274|429|0.04|0.14
534|274|0.03|0.48
274|534|0.03|0.11
274|649|0.04|0.14
649|274|0.04|0.42
764|274|0.04|0.37
274|764|0.04|0.13
823|274|0.05|0.34
274|823|0.05|0.16
971|274|0.03|0.33
274|971|0.03|0.12
1150|274|0.05|0.32
274|1150|0.05|0.16
1285|274|0.07|0.49
274|1285|0.07|0.24
274|1304|0.04|0.14
1304|274|0.04|0.68
326|1150|0.04|0.18
1150|326|0.04|0.27
326|1285|0.05|0.21
1285|326|0.05|0.32
1285|649|0.04|0.30
649|1285|0.04|0.42
823|1285|0.04|0.31
1285|823|0.04|0.31
99 15|1|0.04|0.80
1 15|99|0.04|0.28
1 99|15|0.04|0.33
326 15|1|0.03|0.73
1 15|326|0.03|0.26
1 326|15|0.03|0.20
58 274|1|0.06|0.80
1 274|58|0.06|0.26
1 58|274|0.06|0.39
58 326|1|0.05|0.90
1 326|58|0.05|0.28
1 58|326|0.05|0.33
58 1285|1|0.04|0.87
1 1285|58|0.04|0.39
1 58|1285|0.04|0.28
274 99|1|0.03|0.72
1 99|274|0.03|0.32
1 274|99|0.03|0.15
274 326|1|0.05|0.78
1 326|274|0.05|0.31
1 274|326|0.05|0.24
274 348|1|0.03|0.79
1 348|274|0.03|0.42
1 274|348|0.03|0.16
649 274|1|0.03|0.80
1 649|274|0.03|0.44
1 274|649|0.03|0.15
274 823|1|0.03|0.69
1 823|274|0.03|0.31
1 274|823|0.03|0.15
274 1150|1|0.04|0.79
1 1150|274|0.04|0.34
1 274|1150|0.04|0.17
274 1285|1|0.05|0.75
1 1285|274|0.05|0.49
1 274|1285|0.05|0.24
1 274|1304|0.04|0.17
1304 274|1|0.04|0.89
1304 1|274|0.04|0.71
1285 326|1|0.04|0.80
1 326|1285|0.04|0.22
1 1285|326|0.04|0.35
649 1285|1|0.04|0.85
1 1285|649|0.04|0.34
1 649|1285|0.04|0.47
1285 823|1|0.03|0.77
1 823|1285|0.03|0.31
1 1285|823|0.03|0.32
